# timestamp tx ty tz qx qy qz qw
1698132949.112370 0.000000 0.000000 0.000000 -0.0006615 -0.0200151 -0.7481150 0.6632669
1698132949.311273 0.000999 0.000067 0.000618 -0.0013812 -0.0206953 -0.7479286 0.6634550
1698132949.511701 0.003056 -0.004865 0.003491 -0.0008311 -0.0201904 -0.7478504 0.6635597
1698132949.711517 0.001272 -0.007009 0.011191 -0.0011680 -0.0205021 -0.7477635 0.6636476
1698132949.911957 0.002220 -0.015718 0.010351 -0.0010397 -0.0203825 -0.7475790 0.6638593
1698132950.111306 0.003398 -0.020596 0.024312 -0.0009506 -0.0202826 -0.7461519 0.6654660
1698132950.310430 0.003354 -0.036224 0.028722 -0.0011320 -0.0204536 -0.7460716 0.6655506
1698132950.511518 0.003345 -0.037300 0.023091 -0.0008902 -0.0202317 -0.7454733 0.6662277
1698132950.711521 0.002704 -0.038453 0.035034 -0.0010729 -0.0204012 -0.7449715 0.6667834
1698132950.910366 -0.002047 -0.013089 0.012108 -0.0009073 -0.0202885 -0.7445529 0.6672545
1698132951.110683 -0.009667 0.001721 -0.010576 -0.0009336 -0.0203277 -0.7449048 0.6668603
1698132951.310710 -0.014360 0.015120 -0.036485 -0.0009728 -0.0203417 -0.7446201 0.6671777
1698132951.511161 -0.010217 0.010513 -0.022111 -0.0009494 -0.0202810 -0.7448080 0.6669699
1698132951.710598 -0.013458 0.005503 -0.013927 -0.0010484 -0.0203802 -0.7453273 0.6663864
1698132951.910813 -0.009250 0.006752 -0.018400 -0.0009921 -0.0202999 -0.7457306 0.6659375
1698132952.110684 -0.008852 0.005441 -0.012434 -0.0010633 -0.0203528 -0.7459543 0.6656852
1698132952.310444 -0.014864 0.009984 -0.023035 -0.0010732 -0.0203470 -0.7461026 0.6655192
1698132952.511544 -0.007299 0.006357 -0.017849 -0.0010643 -0.0203244 -0.7461281 0.6654913
1698132952.711133 -0.007518 0.004812 -0.018801 -0.0011021 -0.0203918 -0.7463582 0.6652311
1698132952.911209 -0.006198 0.004291 -0.019191 -0.0010778 -0.0203666 -0.7465393 0.6650287
1698132953.110616 -0.011018 0.007781 -0.022121 -0.0011494 -0.0204154 -0.7466056 0.6649526
1698132953.311397 -0.007845 0.005971 -0.020237 -0.0011355 -0.0203843 -0.7466945 0.6648538
1698132953.511191 -0.010072 0.006431 -0.023693 -0.0011607 -0.0204089 -0.7468602 0.6646668
1698132953.711361 -0.009166 0.004900 -0.019734 -0.0011740 -0.0204094 -0.7469842 0.6645274
1698132953.910872 -0.008407 0.006039 -0.020026 -0.0011708 -0.0204067 -0.7470453 0.6644588
