# timestamp tx ty tz qx qy qz qw
0.000000 0.000000 0.000000 0.000000 -0.0006615 -0.0200151 -0.7481150 0.6632669
0.198903 0.000999 0.000067 0.000618 -0.0013812 -0.0206953 -0.7479286 0.6634550
0.399331 0.003056 -0.004865 0.003491 -0.0008311 -0.0201904 -0.7478504 0.6635597
0.599147 0.001272 -0.007009 0.011191 -0.0011680 -0.0205021 -0.7477635 0.6636476
0.799587 0.002220 -0.015718 0.010351 -0.0010397 -0.0203825 -0.7475790 0.6638593
0.998936 0.003398 -0.020596 0.024312 -0.0009506 -0.0202826 -0.7461519 0.6654660
1.198060 0.003354 -0.036224 0.028722 -0.0011320 -0.0204536 -0.7460716 0.6655506
1.399148 0.003345 -0.037300 0.023091 -0.0008902 -0.0202317 -0.7454733 0.6662277
1.599151 0.002704 -0.038453 0.035034 -0.0010729 -0.0204012 -0.7449715 0.6667834
1.797996 -0.002047 -0.013089 0.012108 -0.0009073 -0.0202885 -0.7445529 0.6672545
1.998313 -0.009667 0.001721 -0.010576 -0.0009336 -0.0203277 -0.7449048 0.6668603
2.198340 -0.014360 0.015120 -0.036485 -0.0009728 -0.0203417 -0.7446201 0.6671777
2.398791 -0.010217 0.010513 -0.022111 -0.0009494 -0.0202810 -0.7448080 0.6669699
2.598228 -0.013458 0.005503 -0.013927 -0.0010484 -0.0203802 -0.7453273 0.6663864
2.798443 -0.009250 0.006752 -0.018400 -0.0009921 -0.0202999 -0.7457306 0.6659375
2.998314 -0.008852 0.005441 -0.012434 -0.0010633 -0.0203528 -0.7459543 0.6656852
3.198074 -0.014864 0.009984 -0.023035 -0.0010732 -0.0203470 -0.7461026 0.6655192
3.399174 -0.007299 0.006357 -0.017849 -0.0010643 -0.0203244 -0.7461281 0.6654913
3.598763 -0.007518 0.004812 -0.018801 -0.0011021 -0.0203918 -0.7463582 0.6652311
3.798839 -0.006198 0.004291 -0.019191 -0.0010778 -0.0203666 -0.7465393 0.6650287
3.998246 -0.011018 0.007781 -0.022121 -0.0011494 -0.0204154 -0.7466056 0.6649526
4.199027 -0.007845 0.005971 -0.020237 -0.0011355 -0.0203843 -0.7466945 0.6648538
4.398821 -0.010072 0.006431 -0.023693 -0.0011607 -0.0204089 -0.7468602 0.6646668
4.598991 -0.009166 0.004900 -0.019734 -0.0011740 -0.0204094 -0.7469842 0.6645274
4.798502 -0.008407 0.006039 -0.020026 -0.0011708 -0.0204067 -0.7470453 0.6644588
4.998160 -0.009016 0.004349 -0.021371 -0.0011813 -0.0204122 -0.7470605 0.6644415
5.198325 -0.008482 0.003307 -0.016954 -0.0011729 -0.0204156 -0.7472109 0.6642723
5.398688 -0.010093 0.006458 -0.028703 -0.0012367 -0.0204470 -0.7473685 0.6640939
5.598361 -0.010839 0.007376 -0.029442 -0.0012201 -0.0204316 -0.7474784 0.6639707
5.798694 -0.007848 0.007521 -0.027267 -0.0012500 -0.0204591 -0.7473976 0.6640608
5.998949 -0.009782 0.003970 -0.024488 -0.0012661 -0.0204759 -0.7475276 0.6639138
6.198728 -0.012304 0.006415 -0.029449 -0.0012738 -0.0204573 -0.7477209 0.6636967
6.399077 -0.010448 0.004305 -0.019324 -0.0012707 -0.0204597 -0.7476861 0.6637359
6.598629 -0.008798 0.003084 -0.021164 -0.0012820 -0.0204582 -0.7477596 0.6636531
6.798323 -0.008107 -0.007984 0.008060 -0.0013266 -0.0204740 -0.7477397 0.6636749
6.998377 -0.007505 -0.009030 0.002404 -0.0013314 -0.0204905 -0.7477628 0.6636484
7.198392 -0.006548 -0.009995 0.001850 -0.0013340 -0.0204981 -0.7477179 0.6636987
7.398174 -0.006538 -0.009831 0.003314 -0.0013237 -0.0205153 -0.7477407 0.6636725
7.598109 -0.006000 -0.007866 0.006264 -0.0012901 -0.0204907 -0.7476510 0.6637744
7.798852 -0.006914 -0.008550 0.006067 -0.0012920 -0.0205046 -0.7475354 0.6639042
7.998315 -0.009139 -0.008338 -0.003279 -0.0013021 -0.0205142 -0.7475541 0.6638828
8.198611 -0.006478 -0.011716 0.004147 -0.0012765 -0.0204992 -0.7475350 0.6639048
8.398777 -0.002902 -0.008207 0.007262 -0.0012678 -0.0205031 -0.7475656 0.6638702
8.598696 -0.004264 -0.007475 0.000930 -0.0012288 -0.0204405 -0.7475455 0.6638948
8.798229 -0.000776 -0.009760 0.012999 -0.0012957 -0.0204703 -0.7474673 0.6639819
8.998334 -0.004157 -0.007433 -0.000402 -0.0012847 -0.0204280 -0.7474993 0.6639471
9.199083 -0.003873 -0.004864 0.003962 -0.0012873 -0.0204508 -0.7474536 0.6639979
9.398640 -0.004588 -0.009353 0.003681 -0.0013248 -0.0204405 -0.7474807 0.6639676
9.598708 -0.001675 -0.007215 0.002753 -0.0013293 -0.0204444 -0.7474688 0.6639810
9.798467 -0.003608 -0.007249 0.001982 -0.0013744 -0.0204509 -0.7474596 0.6639910
9.998589 -0.004012 -0.009101 -0.000409 -0.0013471 -0.0204318 -0.7473465 0.6641190
10.198693 -0.008250 -0.006493 -0.006853 -0.0013738 -0.0204632 -0.7473835 0.6640762
10.398225 -0.005976 -0.007655 0.008973 -0.0013696 -0.0204590 -0.7473169 0.6641513
10.598557 -0.004146 -0.006445 0.002713 -0.0013514 -0.0204608 -0.7474460 0.6640060
10.798222 -0.005462 -0.009630 0.008050 -0.0013129 -0.0204589 -0.7474273 0.6640272
10.998400 -0.006402 -0.008964 0.003279 -0.0011244 -0.0203437 -0.7474244 0.6640344
11.198909 -0.004430 -0.005772 0.001260 -0.0007776 -0.0201037 -0.7469244 0.6646046
11.398019 -0.002820 -0.006957 0.005900 -0.0018555 -0.0212730 -0.7483296 0.6629833
11.597983 -0.009710 -0.010356 -0.003369 -0.0001158 -0.0192997 -0.7467052 0.6648751
11.798680 -0.002736 -0.008642 0.013679 -0.0005249 -0.0203179 -0.7476510 0.6637807
11.998525 -0.009088 -0.009844 0.002992 -0.0010378 -0.0200577 -0.7468550 0.6646836
12.198609 -0.005875 -0.007570 0.002359 -0.0011210 -0.0195854 -0.7469741 0.6645637
12.398277 -0.007374 -0.005726 0.001850 -0.0009437 -0.0198877 -0.7469478 0.6645845
